name,value
symbol_id,OKEX_SPOT_BCH_USDT
asset_id_base,BCH
symbol_id,BITTREX_SPOT_GAME_BTC
asset_id_base,GAME
symbol_id,CRYPTOPIA_SPOT_ETN_BTC
asset_id_base,ETN
symbol_id,BITTREX_SPOT_1ST_BTC
asset_id_base,1ST
symbol_id,POLONIEX_SPOT_VIA_BTC
asset_id_base,VIA
symbol_id,BINANCE_SPOT_APPC_BTC
asset_id_base,APPC
symbol_id,BITFINEX_SPOT_EOS_ETH
asset_id_base,EOS
symbol_id,BITFINEX_SPOT_SAN_USD
asset_id_base,SAN
symbol_id,BINANCE_SPOT_VIB_BTC
asset_id_base,VIB
symbol_id,EXMO_SPOT_DASH_BTC
asset_id_base,DASH
symbol_id,POLONIEX_SPOT_ZRX_BTC
asset_id_base,ZRX
symbol_id,BINANCE_SPOT_ZRX_BTC
asset_id_base,ZRX
symbol_id,HITBTC_SPOT_BCN_USDT
asset_id_base,BCN
symbol_id,BTC-E_SPOT_PPC_BTC
asset_id_base,PPC
symbol_id,BINANCE_SPOT_NANO_ETH
asset_id_base,NANO
symbol_id,BITTREX_SPOT_POT_BTC
asset_id_base,POT
symbol_id,KRAKEN_SPOT_ICN_ETH
asset_id_base,ICN
symbol_id,BINANCE_SPOT_REQ_BTC
asset_id_base,REQ
symbol_id,BITTREX_SPOT_ZEN_BTC
asset_id_base,ZEN
symbol_id,BITTREX_SPOT_NXS_BTC
asset_id_base,NXS
symbol_id,BITTREX_SPOT_BLK_BTC
asset_id_base,BLK
symbol_id,BITTREX_SPOT_VIA_BTC
asset_id_base,VIA
symbol_id,HITBTC_SPOT_NXT_USDT
asset_id_base,NXT
symbol_id,JUBI_SPOT_ANS_CNY
asset_id_base,ANS
